dataset,network,model,opt_out,step,metric,mean,std,n_valid_seeds
Base,Erdős–Rényi,Baseline,True,4,retention_disparity,8.1600000000000019,1.3169662106523439,5
Base,Erdős–Rényi,Baseline,True,4,retention_s0,49.480000000000004,0.61449165982948939,5
Base,Erdős–Rényi,Baseline,True,4,retention_s1,41.32,1.0777754868245957,5
Base,Erdős–Rényi,Baseline,True,4,unfairness,0.0057587693677596972,0.00038160965886837282,5
Base,Erdős–Rényi,Baseline,True,5,approval_rate_difference,7.0599432262136785,3.1871042666444716,5
Base,Erdős–Rényi,Baseline,True,5,retention_disparity,7.8399999999999981,1.8906083676954377,5
Base,Erdős–Rényi,Baseline,True,5,retention_s0,39.399999999999999,1.7017637908946117,5
Base,Erdős–Rényi,Baseline,True,5,retention_s1,31.560000000000002,1.4609585894199759,5
Base,Erdős–Rényi,Baseline,True,5,unfairness,0.0059700635595055559,0.00040584911950481789,5
Base,Erdős–Rényi,DP,False,1,approval_rate_difference,3.6799999999999988,3.2089873792210533,5
Base,Erdős–Rényi,DP,False,1,retention_disparity,0,0,5
Base,Erdős–Rényi,DP,False,1,retention_s0,100,0,5
Base,Erdős–Rényi,DP,False,1,retention_s1,100,0,5
Base,Erdős–Rényi,DP,False,1,unfairness,0.006272661029969262,0,5
Base,Erdős–Rényi,DP,False,2,approval_rate_difference,4.0400000000000009,3.0968370961353444,5
Base,Erdős–Rényi,DP,False,2,retention_disparity,0,0,5
Base,Erdős–Rényi,DP,False,2,retention_s0,100,0,5
Base,Erdős–Rényi,DP,False,2,retention_s1,100,0,5
Base,Erdős–Rényi,DP,False,2,unfairness,0.0062370444721722819,0.00042926415369175513,5
Base,Erdős–Rényi,DP,False,3,approval_rate_difference,5.5999999999999996,3.7672270969507515,5
Base,Erdős–Rényi,DP,False,3,retention_disparity,0,0,5
Base,Erdős–Rényi,DP,False,3,retention_s0,100,0,5
Base,Erdős–Rényi,DP,False,3,retention_s1,100,0,5
Base,Erdős–Rényi,DP,False,3,unfairness,0.0061088388000671845,0.00063903879879959643,5
Base,Erdős–Rényi,DP,False,4,approval_rate_difference,2.0400000000000018,4.0937024806402373,5
Base,Erdős–Rényi,DP,False,4,retention_disparity,0,0,5
Base,Erdős–Rényi,DP,False,4,retention_s0,100,0,5
Base,Erdős–Rényi,DP,False,4,retention_s1,100,0,5
Base,Erdős–Rényi,DP,False,4,unfairness,0.0055932376551204085,0.00054471760485609632,5
Base,Erdős–Rényi,DP,False,5,approval_rate_difference,3.8800000000000012,3.4190057034172958,5
Base,Erdős–Rényi,DP,False,5,retention_disparity,0,0,5
Base,Erdős–Rényi,DP,False,5,retention_s0,100,0,5
Base,Erdős–Rényi,DP,False,5,retention_s1,100,0,5
Base,Erdős–Rényi,DP,False,5,unfairness,0.0061005626893304802,0.00079881285334942648,5
Base,Erdős–Rényi,DP,True,1,approval_rate_difference,3.6799999999999988,3.2089873792210533,5
Base,Erdős–Rényi,DP,True,1,retention_disparity,0,0,5
Base,Erdős–Rényi,DP,True,1,retention_s0,100,0,5
Base,Erdős–Rényi,DP,True,1,retention_s1,100,0,5
Base,Erdős–Rényi,DP,True,1,unfairness,0.006272661029969262,0,5
Base,Erdős–Rényi,DP,True,2,approval_rate_difference,3.6123436578933932,3.1336495323376896,5
Base,Erdős–Rényi,DP,True,2,retention_disparity,4.4400000000000066,3.6164070567346309,5
Base,Erdős–Rényi,DP,True,2,retention_s0,79.599999999999994,2.536138797463575,5
Base,Erdős–Rényi,DP,True,2,retention_s1,75.159999999999997,2.6695317941541785,5
Base,Erdős–Rényi,DP,True,2,unfairness,0.0062370444721722819,0.00042926415369175513,5
Base,Erdős–Rényi,DP,True,3,approval_rate_difference,6.0739394791577146,4.3610014117727021,5
Base,Erdős–Rényi,DP,True,3,retention_disparity,6.7199999999999989,3.924487227651527,5
Base,Erdős–Rényi,DP,True,3,retention_s0,62.279999999999994,2.5158696309626225,5
Base,Erdős–Rényi,DP,True,3,retention_s1,55.560000000000002,1.9489484344127701,5
Base,Erdős–Rényi,DP,True,3,unfairness,0.0063541869118862726,0.00055212353842665738,5
Base,Erdős–Rényi,DP,True,4,approval_rate_difference,2.5939042786912574,4.2036152321882536,5
Base,Erdős–Rényi,DP,True,4,retention_disparity,8.1600000000000019,1.3169662106523439,5
Base,Erdős–Rényi,DP,True,4,retention_s0,49.480000000000004,0.61449165982948939,5
Base,Erdős–Rényi,DP,True,4,retention_s1,41.32,1.0777754868245957,5
