dataset,network,model,training_network,evaluation_network,seed,graph_seed,opt_out,step,unfairness,retention_s0,retention_s1,retention_disparity,approval_rate_difference
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),42,42,True,3,0.0049523682504958311,56.999999999999993,39.200000000000003,17.79999999999999,18.770139634801286
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),42,42,True,4,0.0043528746227182724,46.400000000000006,23.599999999999998,22.800000000000008,10.344827586206895
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),42,42,True,5,0.0043826533059885264,37.200000000000003,15.4,21.800000000000004,8.5812037424940701
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),42,42,False,1,0.0044450759887695312,100,100,0,9.3999999999999968
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),42,42,False,2,0.0045959703020774789,100,100,0,12.4
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),42,42,False,3,0.0049709854231300143,100,100,0,15.600000000000003
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),42,42,False,4,0.0042938062461542748,100,100,0,13.4
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),42,42,False,5,0.0043229365920800511,100,100,0,12
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),42,42,True,1,0.0043418407440185547,100,100,0,9.9999999999999982
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),42,42,True,2,0.0044868310331956929,76.200000000000003,63,13.200000000000003,13.248343957005382
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),42,42,True,3,0.0047804420664381286,58.799999999999997,41,17.799999999999997,17.989049278247883
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),42,42,True,4,0.0036441683836343497,48.399999999999999,25.399999999999999,23,10.054011843560884
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),42,42,True,5,0.0039643582591611937,39.399999999999999,17.800000000000001,21.599999999999998,10.026806593281245
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),42,42,False,1,0.0043418407440185547,100,100,0,9.9999999999999982
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),42,42,False,2,0.0044868310331956929,100,100,0,11.799999999999999
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),42,42,False,3,0.0047807224011298111,100,100,0,16.400000000000002
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),42,42,False,4,0.0035909116081551673,100,100,0,14.200000000000001
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),42,42,False,5,0.0038349383441299567,100,100,0,10.399999999999999
Base,Base (80/20),EO,Base (80/20),Base (80/20),42,42,True,1,0.006424033030848042,100,100,0,-1.8000000000000016
Base,Base (80/20),EO,Base (80/20),Base (80/20),42,42,True,2,0.0066145150874190595,72.799999999999997,76.400000000000006,3.6000000000000085,-2.4164317358034593
Base,Base (80/20),EO,Base (80/20),Base (80/20),42,42,True,3,0.0068701404887234752,55.000000000000007,59.799999999999997,4.7999999999999901,8.2797202797202818
Base,Base (80/20),EO,Base (80/20),Base (80/20),42,42,True,4,0.0051820139310477797,46,43.399999999999999,2.6000000000000014,-2.4203566419555234
Base,Base (80/20),EO,Base (80/20),Base (80/20),42,42,True,5,0.0059822172414552011,35.799999999999997,34.599999999999994,1.2000000000000028,1.7018116059030586
Base,Base (80/20),EO,Base (80/20),Base (80/20),42,42,False,1,0.006424033030848042,100,100,0,-1.8000000000000016
Base,Base (80/20),EO,Base (80/20),Base (80/20),42,42,False,2,0.0066145150874190595,100,100,0,-3.2000000000000028
Base,Base (80/20),EO,Base (80/20),Base (80/20),42,42,False,3,0.0069708518616959925,100,100,0,5.7999999999999936
Base,Base (80/20),EO,Base (80/20),Base (80/20),42,42,False,4,0.0051227430701241694,100,100,0,3.8000000000000034
Base,Base (80/20),EO,Base (80/20),Base (80/20),42,42,False,5,0.0056769149633467686,100,100,0,-2.6000000000000023
Base,Base (80/20),DP,Base (80/20),Base (80/20),42,42,True,1,0.0064856270550558426,100,100,0,3.0000000000000027
Base,Base (80/20),DP,Base (80/20),Base (80/20),42,42,True,2,0.006671119752669652,76.400000000000006,74.400000000000006,2,1.9549062658334782
Base,Base (80/20),DP,Base (80/20),Base (80/20),42,42,True,3,0.0068901664607117219,59.199999999999996,55.600000000000009,3.5999999999999872,11.168092552984643
Base,Base (80/20),DP,Base (80/20),Base (80/20),42,42,True,4,0.0051928871629730589,50,40.200000000000003,9.7999999999999972,-0.17910447761193549
Base,Base (80/20),DP,Base (80/20),Base (80/20),42,42,True,5,0.0059992439995917302,39.800000000000004,31,8.8000000000000043,2.3180418220132948
Base,Base (80/20),DP,Base (80/20),Base (80/20),42,42,False,1,0.0064856270550558426,100,100,0,3.0000000000000027
Base,Base (80/20),DP,Base (80/20),Base (80/20),42,42,False,2,0.006671119752669652,100,100,0,1.0000000000000009
Base,Base (80/20),DP,Base (80/20),Base (80/20),42,42,False,3,0.0070804093590638439,100,100,0,8.9999999999999964
Base,Base (80/20),DP,Base (80/20),Base (80/20),42,42,False,4,0.00520225605934721,100,100,0,6.0000000000000053
Base,Base (80/20),DP,Base (80/20),Base (80/20),42,42,False,5,0.0057785227057930433,100,100,0,-1.8000000000000016
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),99,99,True,1,0.0064928992551834819,100,100,0,-1.2000000000000011
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),99,99,True,2,0.0056584671168043998,78.400000000000006,78.200000000000003,0.20000000000000284,2.898768202933355
