dataset,network,model,training_network,evaluation_network,seed,graph_seed,opt_out,step,unfairness,retention_s0,retention_s1,retention_disparity,approval_rate_difference
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),42,42,True,4,0.0078572402000426367,99.200000000000003,86.599999999999994,12.600000000000009,2.3094688221709014
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),42,42,True,5,0.0078622388839721946,99.200000000000003,85.599999999999994,13.600000000000009,0.70093457943924964
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),42,42,False,1,0.0033942106962204788,100,100,0,10.199999999999998
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),42,42,False,2,0.001414638638496335,100,100,0,7.399999999999995
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),42,42,False,3,0.00094233179092406694,100,100,0,5.8000000000000052
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),42,42,False,4,0.00050394427776334627,100,100,0,3.400000000000003
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),42,42,False,5,0.00034415602684023661,100,100,0,2.200000000000002
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),42,42,True,1,0.0033998594284058159,100,100,0,10.199999999999998
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),42,42,True,2,0.0080329439640044464,99.400000000000006,92,7.4000000000000057,6.1355087044003165
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),42,42,True,3,0.0072464802265167494,99.200000000000003,88,11.200000000000003,4.1165689149560087
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),42,42,True,4,0.0078683166503905611,99.200000000000003,86.599999999999994,12.600000000000009,2.3094688221709014
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),42,42,True,5,0.0078676669597625981,99.200000000000003,85.599999999999994,13.600000000000009,0.70093457943924964
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),42,42,False,1,0.0033998594284058159,100,100,0,10.199999999999998
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),42,42,False,2,0.0014032764434814826,100,100,0,7.399999999999995
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),42,42,False,3,0.00093288862705231956,100,100,0,5.8000000000000052
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),42,42,False,4,0.00049654245376595796,100,100,0,3.400000000000003
