dataset,network,model,opt_out,step,metric,mean,std,n_valid_seeds
Base,Erdős–Rényi,Baseline,True,4,approval_rate_difference,1.5837857332415406,0.19133968114725733,5
Base,Erdős–Rényi,Baseline,True,4,retention_disparity,0.99999999999999711,0.5932958789676519,5
Base,Erdős–Rényi,Baseline,True,4,retention_s0,99.879999999999995,0.16000000000000225,5
Base,Erdős–Rényi,Baseline,True,4,retention_s1,98.879999999999995,0.58787753826796108,5
Base,Erdős–Rényi,Baseline,True,4,unfairness,0.0046789465412246049,0.0038625629423725502,5
Base,Erdős–Rényi,Baseline,True,5,approval_rate_difference,0.98386103849404949,0.90851193771409045,5
Base,Erdős–Rényi,Baseline,True,5,retention_disparity,1.1999999999999971,0.6066300355241262,5
Base,Erdős–Rényi,Baseline,True,5,retention_s0,99.840000000000003,0.19595917942265703,5
Base,Erdős–Rényi,Baseline,True,5,retention_s1,98.640000000000001,0.61188234163113608,5
Base,Erdős–Rényi,Baseline,True,5,unfairness,0.0046156528530030497,0.0039936144460959114,5
Base,Erdős–Rényi,DP,False,1,approval_rate_difference,0.52000000000000057,3.0895954427723988,5
Base,Erdős–Rényi,DP,False,1,retention_disparity,0,0,5
Base,Erdős–Rényi,DP,False,1,retention_s0,100,0,5
Base,Erdős–Rényi,DP,False,1,retention_s1,100,0,5
Base,Erdős–Rényi,DP,False,1,unfairness,0.0011461604442812856,0,5
Base,Erdős–Rényi,DP,False,2,approval_rate_difference,-1.4799999999999991,1.6228370220080637,5
Base,Erdős–Rényi,DP,False,2,retention_disparity,0,0,5
Base,Erdős–Rényi,DP,False,2,retention_s0,100,0,5
Base,Erdős–Rényi,DP,False,2,retention_s1,100,0,5
Base,Erdős–Rényi,DP,False,2,unfairness,0.001146337284834198,3.8740690328782125e-07,5
Base,Erdős–Rényi,DP,False,3,approval_rate_difference,-2.2399999999999975,1.8391302292116212,5
Base,Erdős–Rényi,DP,False,3,retention_disparity,0,0,5
Base,Erdős–Rényi,DP,False,3,retention_s0,100,0,5
Base,Erdős–Rényi,DP,False,3,retention_s1,100,0,5
Base,Erdős–Rényi,DP,False,3,unfairness,0.001146420653869784,3.9959603540708766e-07,5
Base,Erdős–Rényi,DP,False,4,approval_rate_difference,-0.52000000000000057,3.2877956140855198,5
Base,Erdős–Rényi,DP,False,4,retention_disparity,0,0,5
Base,Erdős–Rényi,DP,False,4,retention_s0,100,0,5
Base,Erdős–Rényi,DP,False,4,retention_s1,100,0,5
Base,Erdős–Rényi,DP,False,4,unfairness,0.0011463529958065433,5.073763402131327e-07,5
Base,Erdős–Rényi,DP,False,5,approval_rate_difference,-2.1999999999999971,3.548520818594695,5
Base,Erdős–Rényi,DP,False,5,retention_disparity,0,0,5
Base,Erdős–Rényi,DP,False,5,retention_s0,100,0,5
Base,Erdős–Rényi,DP,False,5,retention_s1,100,0,5
Base,Erdős–Rényi,DP,False,5,unfairness,0.0011465200724092961,5.0598254794430844e-07,5
Base,Erdős–Rényi,DP,True,1,approval_rate_difference,0.52000000000000057,3.0895954427723988,5
Base,Erdős–Rényi,DP,True,1,retention_disparity,0,0,5
Base,Erdős–Rényi,DP,True,1,retention_s0,100,0,5
Base,Erdős–Rényi,DP,True,1,retention_s1,100,0,5
Base,Erdős–Rényi,DP,True,1,unfairness,0.0011461604442812856,0,5
Base,Erdős–Rényi,DP,True,2,approval_rate_difference,-2.0549625735778076,1.9765327524855048,5
Base,Erdős–Rényi,DP,True,2,retention_disparity,3.7600000000000025,2.2922478051030986,5
Base,Erdős–Rényi,DP,True,2,retention_s0,87.719999999999999,1.4119490075778256,5
Base,Erdős–Rényi,DP,True,2,retention_s1,85.799999999999997,3.1648064711763997,5
Base,Erdős–Rényi,DP,True,2,unfairness,0.02653135417794179,0.016558607038329516,5
Base,Erdős–Rényi,DP,True,3,approval_rate_difference,-2.5303127111021295,2.7273970777043433,5
Base,Erdős–Rényi,DP,True,3,retention_disparity,3.2000000000000028,1.6346253393362098,5
Base,Erdős–Rényi,DP,True,3,retention_s0,71.640000000000001,1.1271202242884335,5
Base,Erdős–Rényi,DP,True,3,retention_s1,72.039999999999992,2.9567549780122149,5
Base,Erdős–Rényi,DP,True,3,unfairness,0.022235889603824621,0.010743085337123365,5
Base,Erdős–Rényi,DP,True,4,approval_rate_difference,0.94719587226521862,2.5789770023166341,5
