dataset,network,model,opt_out,unfairness_mean,unfairness_std,retention_disparity_mean,retention_disparity_std,average_retention_disparity_mean,average_retention_disparity_std
Variant II,Erdős–Rényi,EO,True,0.018827084043767171,0.0084877206353882375,2.9999999999999987,1.4142135623730989,3.7899999999999965,1.2827314605949276
Variant II,Erdős–Rényi,LCF-active,False,0.00032862002849576299,0.00036954932279827096,0,0,0,0
Variant II,Erdős–Rényi,LCF-active,True,0.0080636164188384821,0.0060933914375208712,12.559999999999997,1.9895728184713435,10.989999999999998,1.7740913167027226
Variant II,Erdős–Rényi,LCF-full,False,0.00033547935485840342,0.00036893917214279707,0,0,0,0
Variant II,Erdős–Rényi,LCF-full,True,0.0080645397901535354,0.006095638406844588,12.639999999999995,2.0450916849862737,11.049999999999997,1.8102486017119306
Variant II,Watts–Strogatz,Baseline,False,0.0010044103351756427,1.174943966659975e-05,0,0,0,0
Variant II,Watts–Strogatz,Baseline,True,0.0025896296598074686,0.0019399167669708691,0.48000000000000115,0.37094473981982701,0.24000000000000057,0.19849433241279138
Variant II,Watts–Strogatz,DP,False,0.00083396636192549782,2.8764279379027636e-07,0,0,0,0
Variant II,Watts–Strogatz,DP,True,0.015903530922014686,0.013897768205160537,2.3999999999999986,2.5298221281347022,2.9800000000000009,1.9260321908005591
Variant II,Watts–Strogatz,EO,False,0.00045548125220722379,8.5241699242314841e-08,0,0,0,0
Variant II,Watts–Strogatz,EO,True,0.011559474921221991,0.0043725285426805434,1.8800000000000012,0.72221880341071254,3.5899999999999963,0.51127292124656787
Variant II,Watts–Strogatz,LCF-active,False,0.00032806279659272077,0.00036979230317560764,0,0,0,0
Variant II,Watts–Strogatz,LCF-active,True,0.0032669975042343368,0.0024218302678650321,11.919999999999998,0.79598994968529513,10.529999999999998,0.70469851709791287
Variant II,Watts–Strogatz,LCF-full,False,0.00033575098514557753,0.00036858035601575629,0,0,0,0
Variant II,Watts–Strogatz,LCF-full,True,0.0032686282157897927,0.0024240878662700267,11.999999999999996,0.91214034007930722,10.569999999999997,0.75405570086035212
