dataset,network,model,training_network,evaluation_network,seed,graph_seed,opt_out,step,unfairness,retention_s0,retention_s1,retention_disparity,approval_rate_difference,average_retention_disparity
Base,Watts–Strogatz,DP,Watts–Strogatz,Watts–Strogatz,7,7,True,5,0.0079004302210208821,48.600000000000001,50,1.3999999999999986,3.1588477366255141,1.9000000000000004
Base,Watts–Strogatz,DP,Watts–Strogatz,Watts–Strogatz,7,7,False,5,0.0011265387809127336,100,100,0,1.9999999999999907,0
Base,Watts–Strogatz,Baseline,Watts–Strogatz,Watts–Strogatz,13,13,True,5,0.00019247651031761848,99.799999999999997,99.200000000000003,0.59999999999999432,1.8169403322774613,0.39999999999999858
Base,Watts–Strogatz,Baseline,Watts–Strogatz,Watts–Strogatz,13,13,False,5,0.00179539908389037,100,100,0,1.8000000000000016,0
Base,Watts–Strogatz,LCF-full,Watts–Strogatz,Watts–Strogatz,13,13,True,5,0.0015795032978057622,99.599999999999994,86,13.599999999999994,1.6279069767441867,12.149999999999995
Base,Watts–Strogatz,LCF-full,Watts–Strogatz,Watts–Strogatz,13,13,False,5,0.0002944315671921105,100,100,0,2.8000000000000025,0
Base,Watts–Strogatz,LCF-active,Watts–Strogatz,Watts–Strogatz,13,13,True,5,0.0015894250869750159,99.599999999999994,86,13.599999999999994,1.6279069767441867,12.149999999999995
Base,Watts–Strogatz,LCF-active,Watts–Strogatz,Watts–Strogatz,13,13,False,5,0.00028656816482541814,100,100,0,2.8000000000000025,0
Base,Watts–Strogatz,EO,Watts–Strogatz,Watts–Strogatz,13,13,True,5,0.019664452549705558,43,46.400000000000006,3.4000000000000057,-7.1732157177225364,4.4499999999999993
Base,Watts–Strogatz,EO,Watts–Strogatz,Watts–Strogatz,13,13,False,5,0.00061966069201979668,100,100,0,-3.6000000000000032,0
Base,Watts–Strogatz,DP,Watts–Strogatz,Watts–Strogatz,13,13,True,5,0.0065262440896738383,49,50.399999999999999,1.3999999999999986,-4.1156462585033911,2.0999999999999979
Base,Watts–Strogatz,DP,Watts–Strogatz,Watts–Strogatz,13,13,False,5,0.001127104720119787,100,100,0,-4.5999999999999925,0
Base,Watts–Strogatz,Baseline,Watts–Strogatz,Watts–Strogatz,42,42,True,5,0.0017607686908187592,100,99.599999999999994,0.40000000000000568,0.20401606425702878,0.30000000000000426
Base,Watts–Strogatz,Baseline,Watts–Strogatz,Watts–Strogatz,42,42,False,5,0.0017607686908187592,100,100,0,0.20000000000000018,0
Base,Watts–Strogatz,LCF-full,Watts–Strogatz,Watts–Strogatz,42,42,True,5,0.0098283407688141144,98.799999999999997,89.400000000000006,9.3999999999999915,0.67114093959731447,7.5999999999999979
Base,Watts–Strogatz,LCF-full,Watts–Strogatz,Watts–Strogatz,42,42,False,5,0.00035288822650914042,100,100,0,2.200000000000002,0
Base,Watts–Strogatz,LCF-active,Watts–Strogatz,Watts–Strogatz,42,42,True,5,0.011838220477104255,98.799999999999997,89.799999999999997,9,0.66815144766146917,7.2999999999999972
Base,Watts–Strogatz,LCF-active,Watts–Strogatz,Watts–Strogatz,42,42,False,5,0.00034240460395817962,100,100,0,2.200000000000002,0
Base,Watts–Strogatz,EO,Watts–Strogatz,Watts–Strogatz,42,42,True,5,0.016887988070682369,46.800000000000004,49.600000000000001,2.7999999999999972,9.842845326716299,4.8999999999999915
Base,Watts–Strogatz,EO,Watts–Strogatz,Watts–Strogatz,42,42,False,5,0.00061938672007699758,100,100,0,1.7999999999999905,0
Base,Watts–Strogatz,DP,Watts–Strogatz,Watts–Strogatz,42,42,True,5,0.048234279533807489,52,59.399999999999999,7.3999999999999986,7.3698523698523699,6.9500000000000046
Base,Watts–Strogatz,DP,Watts–Strogatz,Watts–Strogatz,42,42,False,5,0.0011256403179934482,100,100,0,2.200000000000002,0
Base,Watts–Strogatz,Baseline,Watts–Strogatz,Watts–Strogatz,99,99,True,5,0.00010303299121383613,99.400000000000006,99.200000000000003,0.20000000000000284,-0.40038618809631332,0.59999999999999787
Base,Watts–Strogatz,Baseline,Watts–Strogatz,Watts–Strogatz,99,99,False,5,0.0018032479253102807,100,100,0,-0.40000000000000036,0
Base,Watts–Strogatz,LCF-full,Watts–Strogatz,Watts–Strogatz,99,99,True,5,0.0025809804201125663,99.200000000000003,87.400000000000006,11.799999999999997,0.48488595260942624,10.75
Base,Watts–Strogatz,LCF-full,Watts–Strogatz,Watts–Strogatz,99,99,False,5,0.00074039626121524815,100,100,0,1.6000000000000014,0
Base,Watts–Strogatz,LCF-active,Watts–Strogatz,Watts–Strogatz,99,99,True,5,0.0025735709667205064,99.200000000000003,87.400000000000006,11.799999999999997,0.48488595260942624,10.75
Base,Watts–Strogatz,LCF-active,Watts–Strogatz,Watts–Strogatz,99,99,False,5,0.00072968065738676646,100,100,0,1.6000000000000014,0
Base,Watts–Strogatz,EO,Watts–Strogatz,Watts–Strogatz,99,99,True,5,0.009585011406923527,47.799999999999997,46.400000000000006,1.3999999999999915,-0.67630933487230482,4.4499999999999957
Base,Watts–Strogatz,EO,Watts–Strogatz,Watts–Strogatz,99,99,False,5,0.00061972435687773775,100,100,0,-4.1999999999999922,0
